| Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Übersicht Sozialversicherungen 2025 für alle Mitarbeitende mit einem unbefristeten Arbeitsverhältnis oder mit einem befristeten Anstellungsvertrag von mehr als 3 Monaten                                                                                | Beiträge Arbeitnehmer (AN)                                                                                                                                                                                                                               | +/- Vorjahr (AN)                                                                                                                                                                                                                                         | +/- Vorjahr (AN)                                                                                                                                                                                                                                         |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               | Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               | Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               | Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               | Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               | Staatliche Sozialversicherungen (1. Säule)                                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| Beitragspflicht                                                                                                                                                                                                                                          | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang                                                                                                                                                                                                    | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang                                                                                                                                                                                                    | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang                                                                                                                                                                                                    | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang                                                                                                                                                                                                    | 2006)                                                                                                                                                                                                                                                    |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | Ab Rentenalter mit Abzug des Freibetrages von                                                                                                                                                                                                            | CHF 1'400                                                                                                                                                                                                                                                | Ab Rentenalter mit Abzug des Freibetrages von                                                                                                                                                                                                            | Ab Rentenalter mit Abzug des Freibetrages von                                                                                                                                                                                                            | monatlich                                                                                                                                                                                                                                                | Ab Rentenalter mit Abzug des Freibetrages von                                                                                                                                                                                                            |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
| AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% | AHV Alters- und Hinterlassenenversicherung 8.70% IV Invalidenversicherung 1.40% EO Erwerbsersatzordnung für Dienstleistende und Mutterschaft/Vaterschaft/Betreuungsurlaub 0.50% Total AHV/IV/EO vom Bruttolohn (ohne Familienzulagen) 10.60% 5.30% 5.30% |
|                                                                                                                                                                                                                                                          | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               | (2. Säule)                                                                                                                                                                                                                                               |
| Beitragspflicht                                                                                                                                                                                                                                          | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       | Arbeitslosenversicherung bis CHF 148'200/Jahr 1.10% 1.10% Vorsorge                                                                                                                                                                                       |
|                                                                                                                                                                                                                                                          | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang 2006) und alle Lernende, nur Risikobeiträge Ab 1.1. nach Vollendung des 24. Altersjahrs (Jahrgang Mindestjahreslohn (Eintrittsschwelle) bei                                                        | zusätzlich 100% von                                                                                                                                                                                                                                      | Sparbeiträge CHF 22'680                                                                                                                                                                                                                                  | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang 2006) und alle Lernende, nur Risikobeiträge Ab 1.1. nach Vollendung des 24. Altersjahrs (Jahrgang Mindestjahreslohn (Eintrittsschwelle) bei                                                        | 1999) Beschäftigungsgrad                                                                                                                                                                                                                                 | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang 2006) und alle Lernende, nur Risikobeiträge Ab 1.1. nach Vollendung des 24. Altersjahrs (Jahrgang Mindestjahreslohn (Eintrittsschwelle) bei                                                        | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang 2006) und alle Lernende, nur Risikobeiträge Ab 1.1. nach Vollendung des 24. Altersjahrs (Jahrgang Mindestjahreslohn (Eintrittsschwelle) bei                                                        | Ab 1.1. nach Vollendung des 17. Altersjahrs (Jahrgang 2006) und alle Lernende, nur Risikobeiträge Ab 1.1. nach Vollendung des 24. Altersjahrs (Jahrgang Mindestjahreslohn (Eintrittsschwelle) bei                                                        |
| Versicherer Beiträge                                                                                                                                                                                                                                     | Bei Aufschub Altersrücktritt und Weiterbeschäftigung bis max. Erreichung Pensionskasse der Hager Schweiz Gemäss Tabelle Arbeitnehmer: Maximal)                                                                                                           |                                                                                                                                                                                                                                                          | 70. Altersjahr                                                                                                                                                                                                                                           | nur Sparbeiträge                                                                                                                                                                                                                                         | Gemäss Wahl Sparplan (Minimal, Standard, Risikobeitrag                                                                                                                                                                                                   |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
|                                                                                                                                                                                                                                                          | + Siehe Vorsorgereglement und persönlicher Vorsorgeausweis                                                                                                                                                                                               |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          | Arbeitgeber:                                                                                                                                                                                                                                             |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |                                                                                                                                                                                                                                                          |
